Afornecedo,Designação Fatura,Conta,Nome da co,Doc  nome ,N  contrib,Doc  inici,Doc  nome1,Elegível?
PETRO AGRELA COMERCIO DE COMBUSTIVEIS LDA,Gasóleo para Pesados de Mercadorias 100% Ded.,62421413.0,Gasóleo  Pessado Mercadorias MN Tx Normal,V/ Nota de Crédito,503566454,PT,Compras OBS,0
PETRO AGRELA COMERCIO DE COMBUSTIVEIS LDA,Gasóleo para Pesados de Mercadorias 100% Ded.,62421413.0,Gasóleo  Pessado Mercadorias MN Tx Normal,V/ Nota de Crédito,503566454,PT,Compras OBS,0
PETRO AGRELA COMERCIO DE COMBUSTIVEIS LDA,Gasóleo para Pesados de Mercadorias 100% Ded.,62421413.0,Gasóleo  Pessado Mercadorias MN Tx Normal,V/ Nota de Crédito,503566454,PT,Compras OBS,0
PETRO AGRELA COMERCIO DE COMBUSTIVEIS LDA,Gasóleo para Pesados de Mercadorias 100% Ded.,62421413.0,Gasóleo  Pessado Mercadorias MN Tx Normal,V/ Nota de Crédito,503566454,PT,Compras OBS,0
PETRO AGRELA COMERCIO DE COMBUSTIVEIS LDA,Gasóleo para Pesados de Mercadorias 100% Ded.,62421413.0,Gasóleo  Pessado Mercadorias MN Tx Normal,V/ Nota de Crédito,503566454,PT,Compras OBS,0
JOSE CARDOSO & FERREIRA LDA,Ferramentas e utensílios - Iva ded.,6231113.0,Ferra e Utens MN Tx Normal,V/ Factura S,505215020,PT,Compras OBS,0
"RDUZ GESTÃO GLOBAL DE RESÍDUOS, S.A.",Serviço Gestão Resíduos (Aluguer/Recolha/Tratamento),6268113.0,Resíduos MN Tx Normal,V/ Factura S,507225740,PT,Compras OBS,1
"VIAGENS ABREU, SA.",Voos,6251514.0,Voos MN Isento,V/ Factura S,500297177,PT,Compras OBS,0
"VIAGENS ABREU, SA.",Voos,6251416.0,Estadia/Alojamento MN Não Ded Base,V/ Factura S,500297177,PT,Compras OBS,0
"RDUZ GESTÃO GLOBAL DE RESÍDUOS, S.A.",Serviço Gestão Resíduos (Aluguer/Recolha/Tratamento),6268111.0,Resíduos MN Tx Reduzida,V/ Factura S,507225740,PT,Compras OBS,1
"FROTCOM LUSITANA, LDA.",Vigilancia e Segurança - Iva Dedutivel,622313.0,Vigilância e Segurança MN Tx Normal,V/ Factura S,509584489,PT,Compras OBS,0
"EDUARDO FERNANDES - AUTO, LDA",Conservação e Reparação - Iva ded. - L. Mercadorias,62264113.0,Cons Veic. Lig Mercadorias MN Tx Normal,V/ Nota de Crédito,510116752,PT,Compras OBS,0
PRINTEXPO UNIPESSOAL LDA,Fotocópias MN Tx Normal,6233414.0,Fotocopias MN Isento,V/ Factura S,514580453,PT,Compras OBS,0
"PEDRO PEIXOTO, LDA",Luvas,6231113.0,Ferra e Utens MN Tx Normal,V/ Factura S,506679551,PT,Compras OBS,0
PRINTEXPO UNIPESSOAL LDA,Fotocópias MN Tx Normal,6233413.0,Fotocopias MN TX Normal,V/ Factura S,514580453,PT,Compras OBS,0
Fornecedor Compras a Dinheiro MN,Material de Escritório - Iva Dedutivel,6233113.0,Mat. Escrit. MN - Tx Normal,V/ Vd. Dinheiro,509986706,PT,Caixa,0
